"Ralph.Abraham","Alma.Adams","Robert.B..Aderholt","Pete.Aguilar","Rick.Allen","Justin.Amash","Mark.Amodei","Jodey.Arrington","Brian.Babin","Don.Bacon","Troy.Balderson","Jim.Banks","Lou.Barletta","Andy.Barr","Nanette.Barragán","Joe.L..Barton","Karen.Bass","Joyce.Beatty","Ami.Bera","Jack.Bergman","Donald.Beyer","Andy.Biggs","Gus.Bilirakis","Mike.Bishop","Sanford.D..Bishop.Jr.","Rob.Bishop","Diane.Black","Marsha.Blackburn","Rod.Blum","Earl.Blumenauer","Lisa.Blunt.Rochester","Suzanne.Bonamici","Madeleine.Z..Bordallo","Mike.Bost","Brendan.Boyle","Kevin.Brady","Robert.A..Brady","David.A..Brat","Susan.Brooks","Mo.Brooks","Anthony.Brown","Julia.Brownley","Vern.Buchanan","Ken.Buck","Larry.Bucshon","Ted.Budd","Michael.C..Burgess","Cheri.Bustos","G..K..Butterfield","Bradley.Byrne","Ken.Calvert","Michael.E..Capuano","Salud.Carbajal","Tony.Cárdenas","André.Carson","Buddy.Carter","John.Carter","Matt.Cartwright","Kathy.Castor","Joaquín.Castro","Steven.J..Chabot","Liz.Cheney","Judy.Chu","David.Cicilline","Katherine.Clark","Yvette.D..Clarke","William.Lacy.Clay","Emanuel.Cleaver.II","Michael.Cloud","James.E..Clyburn","Mike.Coffman","Steve.Cohen","Tom.Cole","Doug.Collins","Chris.Collins","James.Comer","Barbara.Comstock","K..Michael.Conaway","Gerald.E..Connolly","Paul.Cook","Jim.Cooper","J..Luis.Correa","Jim.Costa","Ryan.Costello","Joe.Courtney","Kevin.Cramer","Rick.Crawford","Charlie.Crist","Joseph.Crowley","Henry.Cuellar","John.Culberson","Elijah.E..Cummings","Carlos.Curbelo","John.Curtis","Warren.Davidson","Danny.K..Davis","Susan.A..Davis","Rodney.Davis","Peter.A..DeFazio","Diana.DeGette","John.Delaney","Rosa.DeLauro","Suzan.K..DelBene","Val.Demings","Jeffrey.Denham","Mark.DeSaulnier","Scott.DesJarlais","Ted.Deutch","Mario.Diaz.Balart","Debbie.Dingell","Lloyd.Doggett","Daniel.M..Donovan","Mike.Doyle","Sean.Duffy","Jeffrey.Duncan","John.J..Duncan.Jr.","Neal.Dunn","Keith.Ellison","Tom.Emmer","Eliot.L..Engel","Anna.G..Eshoo","Adriano.Espaillat","Ron.Estes","Elizabeth.Esty","Dwight.Evans","John.Faso","A..Drew.Ferguson","Brian.Fitzpatrick","Chuck.Fleischmann","Bill.Flores","Jeff.Fortenberry","Bill.Foster","Virginia.Foxx","Lois.Frankel","Rodney.Frelinghuysen","Marcia.L..Fudge","Tulsi.Gabbard","Matt.Gaetz","Mike.Gallagher","Ruben.Gallego","John.Garamendi","Thomas.Garrett","Greg.Gianforte","Bob.Gibbs","Louie.Gohmert","Jimmy.Gomez","Vicente.Gonzalez","Jenniffer.González.Colón","Robert.W..Goodlatte","Paul.Gosar","Josh.Gottheimer","Trey.Gowdy","Kay.Granger","Sam.Graves","Garret.Graves","Tom.Graves","Gene.Green","Al.Green","Morgan.Griffith","Raúl.M..Grijalva","Glenn.Grothman","Brett.Guthrie","Luis.V..Gutiérrez","Colleen.Hanabusa","Karen.Handel","Gregg.Harper","Andy.Harris","Vicky.Hartzler","Alcee.L..Hastings","Denny.Heck","Jeb.Hensarling","Kevin.Hern","Jaime.Herrera.Beutler","Jody.Hice","Brian.Higgins","Clay.Higgins","French.Hill","Jim.Himes","George.Holding","Trey.Hollingsworth","Steny.H..Hoyer","Richard.Hudson","Jared.Huffman","Bill.Huizenga","Randy.Hultgren","Duncan.D..Hunter","Will.Hurd","Darrell.Issa","Sheila.Jackson.Lee","Pramila.Jayapal","Hakeem.Jeffries","Lynn.Jenkins","Eddie.Bernice.Johnson","Bill.Johnson","Mike.Johnson","Sam.Johnson","Hank.Johnson","Brenda.Jones","Walter.B..Jones","Jim.Jordan","Dave.Joyce","Marcy.Kaptur","John.Katko","Bill.Keating","Trent.Kelly","Robin.Kelly","Mike.Kelly","Joseph.P..Kennedy.III","Ro.Khanna","Ruben.Kihuen","Dan.Kildee","Derek.Kilmer","Ron.Kind","Steve.King","Peter.T..King","Adam.Kinzinger","Steve.Knight","Raja.Krishnamoorthi","Ann.McLane.Kuster","David.Kustoff","Raúl.Labrador","Darin.M..LaHood","Doug.LaMalfa","Conor.Lamb","Doug.Lamborn","Leonard.Lance","Jim.Langevin","Rick.Larsen","John.B..Larson","Robert.E..Latta","Brenda.Lawrence","Al.Lawson","Barbara.Lee","Debbie.Lesko","Sander.M..Levin","John.Lewis","Jason.Lewis","Ted.Lieu","Daniel.Lipinski","Frank.A..LoBiondo","Dave.Loebsack","Zoe.Lofgren","Billy.Long","Barry.Loudermilk","Mia.Love","Alan.Lowenthal","Nita.M..Lowey","Frank.D..Lucas","Blaine.Luetkemeyer","Ben.Ray.Luján","Stephen.F..Lynch","Tom.MacArthur","Carolyn.B..Maloney","Sean.Patrick.Maloney","Kenny.Marchant","Tom.Marino","Roger.Marshall","Thomas.Massie","Brian.Mast","Doris.Matsui","Kevin.McCarthy","Michael.McCaul","Tom.McClintock","Betty.McCollum","A..Donald.McEachin","Jim.McGovern","Patrick.T..McHenry","David.McKinley","Cathy.McMorris.Rodgers","Jerry.McNerney","Martha.McSally","Mark.Meadows","Gregory.W..Meeks","Grace.Meng","Luke.Messer","Paul.Mitchell","John.Moolenaar","Alex.Mooney","Gwen.Moore","Joe.Morelle","Seth.Moulton","Markwayne.Mullin","Stephanie.Murphy","Jerrold.Nadler","Grace.F..Napolitano","Richard.E..Neal","Dan.Newhouse","Kristi.Noem","Rick.Nolan","Donald.W..Norcross","Ralph.Norman","Eleanor.Holmes.Norton","Devin.Nunes","Tom.O.Halleran","Beto.O.Rourke","Pete.Olson","Steven.Palazzo","Frank.Pallone","Gary.Palmer","Jimmy.Panetta","Bill.Pascrell.Jr.","Erik.Paulsen","Donald.M..Payne.Jr.","Steve.Pearce","Nancy.Pelosi","Ed.Perlmutter","Scott.Perry","Scott.Peters","Collin.C..Peterson","Chellie.Pingree","Robert.Pittenger","Stacey.Plaskett","Mark.Pocan","Ted.Poe","Bruce.Poliquin","Jared.Polis","Bill.Posey","David.E..Price","Mike.Quigley","Amata.Coleman.Radewagen","Jamie.Raskin","John.Ratcliffe","Tom.Reed","Dave.Reichert","Jim.Renacci","Kathleen.Rice","Tom.Rice","Cedric.Richmond","Martha.Roby","Phil.Roe","Harold.Rogers","Mike.D..Rogers","Dana.Rohrabacher","Todd.Rokita","Francis.Rooney","Tom.Rooney","Ileana.Ros.Lehtinen","Jacky.Rosen","Peter.Roskam","Dennis.Ross","Keith.Rothfus","David.Rouzer","Lucille.Roybal.Allard","Edward.Royce","Raul.Ruiz","C.A..Dutch.Ruppersberger","Bobby.L..Rush","Steve.Russell","John.Rutherford","Tim.Ryan","Paul.D..Ryan","Gregorio.Kilili.Camacho.Sablan","Linda.T..Sánchez","Mark.Sanford","John.Sarbanes","Steve.Scalise","Mary.Gay.Scanlon","Jan.Schakowsky","Adam.B..Schiff","Brad.Schneider","Kurt.Schrader","David.Schweikert","Austin.Scott","David.Scott","Robert.C..Scott","F..James.Sensenbrenner","José.E..Serrano","Pete.Sessions","Terri.Sewell","Carol.Shea.Porter","Brad.Sherman","John.Shimkus","Bill.Shuster","Mike.Simpson","Kyrsten.Sinema","Albio.Sires","Christopher.H..Smith","Lamar.Smith","Adam.Smith","Adrian.Smith","Jason.Smith","Lloyd.Smucker","Darren.Soto","Jackie.Speier","Elise.Stefanik","Chris.Stewart","Steve.Stivers","Thomas.Suozzi","Eric.Swalwell","Mark.Takano","Scott.Taylor","Claudia.Tenney","Bennie.Thompson","Glenn.Thompson","Mike.Thompson","William.M..Thornberry","Scott.Tipton","Dina.Titus","Paul.Tonko","Norma.Torres","Dave.Trott","Niki.Tsongas","Michael.R..Turner","Fred.Upton","David.Valadao","Juan.Vargas","Marc.Veasey","Filemon.Vela","Nydia.M..Velázquez","Peter.J..Visclosky","Ann.Wagner","Tim.Walberg","Greg.Walden","Mark.Walker","Jackie.Walorski","Mimi.Walters","Tim.Walz","Debbie.Wasserman.Schultz","Maxine.Waters","Bonnie.Watson.Coleman","Randy.Weber","Daniel.Webster","Peter.Welch","Brad.Wenstrup","Bruce.Westerman","Susan.Wild","Roger.Williams","Frederica.Wilson","Joe.Wilson","Robert.J..Wittman","Steve.Womack","Rob.Woodall","John.Yarmuth","Kevin.Yoder","Ted.Yoho","David.Young","Don.Young","Lee.Zeldin","NA."
"Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Yes","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other"
"Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Yes","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other","Other"
"Yes","Other","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Other","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Other","Yes","Yes","Yes","Yes","No","Other","No","Other","Yes","No","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","Other","Yes","No","No","Other","Other","Yes","Yes","No","No","No","Yes","Yes","No","No","Other","No","No","No","Other","No","Yes","No","Other","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes","Yes","No","Other","No","Yes","No","Yes","Other","Yes","No","No","Yes","No","No","No","No","No","No","Yes","No","Yes","No","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Other","No","Other","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Other","No","Yes","Yes","No","No","Yes","Other","Yes","Yes","Other","No","Other","Yes","Yes","No","Other","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Other","Other","Other","Yes","Yes","Yes","No","No","Yes","Other","Yes","Yes","Other","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Other","Other","No","No","Yes","No","Yes","Yes","Yes","No","Other","Other","Yes","Yes","No","Yes","No","Other","Other","Yes","No","No","No","No","No","No","Other","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Other","Yes","Yes","No","No","No","Yes","No","No","No","Other","No","Other","Yes","No","No","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Yes","No","Other","Yes","No","No","Other","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Other","No","Yes","No","Other","No","No","Yes","Yes","No","No","Other","Other","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","No","Yes","No","No","Yes","No","No","No","Yes","Other","No","Yes","Yes","No","Yes","No","No","Other","No","Yes","Yes","Yes","Other","Other","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Other","Yes","No","Yes","Yes","Yes","Yes","No","Other","No","No","No","Yes","Yes","No","Other","Other","No","Yes","No","Yes","Other","No","No","No","Other","Yes","Yes","No","No","Yes","No","Yes","No","No","No","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Other","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes","No","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","Other","Yes","Yes","No","No","No","No","Yes","Yes","No","Yes","Yes","Other","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Other","Yes","Other"
"Yes","Other","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Other","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Other","Yes","No","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","Other","Yes","No","No","Other","Other","Yes","Yes","No","No","No","Yes","Yes","No","No","Other","No","No","No","Other","No","Yes","No","Other","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes","Yes","No","Other","No","Yes","No","Yes","Other","Yes","No","No","Yes","No","No","No","No","No","No","Yes","No","Yes","No","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Other","No","Other","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","Yes","No","No","Yes","Other","Yes","Yes","Other","No","Other","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","Other","Yes","Yes","Yes","No","No","Yes","Other","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Other","No","No","Yes","No","Yes","Yes","Yes","No","Other","Yes","Yes","Yes","No","Yes","No","Other","Other","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Other","Yes","Yes","No","No","No","Yes","No","No","No","Other","No","Other","Yes","No","No","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Other","No","Yes","No","Other","No","No","Yes","Yes","No","No","Other","Other","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","No","Yes","No","No","Yes","No","No","No","Yes","Other","No","Yes","Yes","No","Yes","No","No","Other","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Other","No","No","No","Yes","Yes","No","Other","Other","No","Yes","No","Yes","Other","No","No","No","Other","Yes","Yes","No","No","Yes","No","Yes","No","No","No","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Other","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes","No","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","Other","Yes","Yes","No","No","No","No","Yes","Yes","No","Yes","Yes","Other","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Other"
"No","Other","No","Yes","No","No","No","No","No","No","Other","No","No","No","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","Other","No","Yes","No","Yes","No","No","No","Yes","Yes","No","No","No","No","No","Yes","Yes","Other","No","Yes","Yes","Other","Other","No","No","Yes","Yes","Yes","No","No","Yes","Yes","Other","Yes","Yes","Yes","Other","Yes","No","Yes","Other","No","No","No","No","No","Yes","No","Yes","Yes","Yes","No","Yes","No","No","Yes","Other","Yes","No","Yes","No","Other","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","No","Yes","No","No","No","No","Yes","No","Yes","Yes","Yes","Other","Yes","Other","No","No","No","No","No","No","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Yes","No","Other","No","No","Other","Yes","Other","No","No","Yes","No","No","No","No","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Other","No","No","No","Yes","Yes","No","Other","No","No","Yes","No","No","Yes","No","No","Yes","No","Yes","No","No","No","No","No","Other","Yes","Yes","No","Yes","No","No","No","Yes","Other","No","No","No","Yes","No","Yes","Other","Other","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","No","Other","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Other","Yes","Other","No","Yes","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No","No","No","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","No","No","No","No","Yes","Other","Yes","No","Yes","Other","Yes","Yes","No","No","Yes","Yes","Other","Other","No","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Other","Yes","No","No","Yes","No","Yes","Yes","Other","Yes","No","No","No","No","Yes","No","Yes","No","No","No","No","Other","No","No","No","No","Yes","No","No","No","No","Yes","Other","Yes","Yes","Yes","No","No","Yes","Other","Other","Yes","No","Yes","No","Other","Yes","Yes","Yes","Other","No","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","Yes","No","Other","No","Yes","Yes","No","No","No","Yes","Yes","Yes","No","No","Yes","No","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Other","No","No","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Other","No","Yes","No","No","No","No","Yes","No","No","No","No","No","Other"
"Yes","Other","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Other","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Other","Yes","No","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","Other","Yes","No","No","Other","Other","Yes","Yes","No","No","No","Yes","Yes","No","No","Other","No","No","No","Other","No","Yes","No","Other","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes","Yes","No","Other","No","Yes","No","Yes","Other","Yes","No","No","Yes","No","No","No","No","No","No","Yes","No","Yes","No","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Other","No","Other","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Other","Yes","No","No","Yes","Yes","No","No","Yes","Other","Yes","Yes","Other","No","Other","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","Other","Yes","Yes","Yes","No","No","Yes","Other","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Other","No","No","Yes","No","Yes","Yes","Yes","No","Other","No","Yes","Yes","No","Yes","No","Other","Other","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Other","Yes","Yes","No","No","No","Yes","No","No","No","Other","No","Other","Yes","No","No","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Other","No","Yes","No","Other","No","No","Yes","Yes","No","No","Other","Other","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","No","Yes","No","Other","Yes","No","No","No","Yes","Other","No","Yes","Yes","No","Yes","No","No","Other","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Other","No","No","Other","Yes","Yes","No","Other","Other","No","Yes","No","Yes","Other","No","No","No","Other","Yes","Yes","No","No","Yes","No","Yes","No","No","No","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Other","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes","No","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","Other","Yes","Yes","No","No","No","No","Yes","Yes","No","Yes","Yes","Other","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Other"
"No","Other","No","Yes","No","No","No","No","No","No","Other","No","No","No","Yes","No","Yes","Yes","Yes","No","Other","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","Other","No","Yes","No","Yes","No","No","No","Yes","Yes","No","No","No","No","No","Yes","Yes","Other","No","Yes","Yes","Other","Other","No","No","Yes","Yes","Yes","No","No","Yes","Yes","Other","Yes","Yes","Yes","Other","Yes","No","Yes","Other","No","Other","No","No","No","Yes","No","Yes","Yes","Other","No","Yes","No","No","Yes","Other","Yes","No","Yes","No","Other","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","No","Yes","No","No","No","No","Yes","No","Yes","Yes","Yes","Other","Yes","Other","No","No","No","No","No","No","Yes","No","Yes","No","Yes","Yes","No","No","Other","Yes","No","Other","No","No","Other","Other","Other","No","No","Yes","No","No","No","No","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Other","No","No","No","Yes","Yes","No","Other","No","No","Yes","No","No","Yes","No","No","Yes","No","Yes","No","No","No","No","No","Other","Yes","Yes","No","Yes","No","No","No","Yes","Other","No","No","No","Yes","No","Yes","Other","Other","No","Yes","Yes","Other","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","No","Other","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Other","Yes","Other","No","Yes","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No","No","No","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","No","No","No","No","Yes","Other","Yes","No","Yes","Other","Yes","Yes","No","No","Yes","Yes","Other","Other","No","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Other","Yes","Other","No","Yes","No","Yes","Yes","Other","Yes","No","No","No","No","Yes","No","Other","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","Other","Yes","Yes","Other","No","No","Yes","Other","Other","Yes","No","Yes","No","Other","Yes","Yes","Yes","Other","No","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","Yes","No","Other","No","Yes","Yes","No","No","No","Yes","Yes","Yes","No","No","Yes","No","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Other","No","No","Yes","Yes","Other","Yes","No","No","Yes","No","No","Other","No","Yes","No","No","No","No","Yes","No","No","No","No","No","Other"
